ExCuSe,Dummy
51.870000000000005,131.87
52.5,132.5
53.81999999999999,133.82
194.87,135.13
26.430000000000007,136.43
57.75,137.75
59.06999999999999,139.07
60.370000000000005,140.37
61.68000000000001,141.68
63.0,143.0
66.13,146.13
69.25999999999999,149.26
72.37,152.37
75.5,155.5
78.63,158.63
81.74000000000001,161.74
84.87,164.87
88.0,168.0
88.82,168.82
89.63,169.63
90.43,170.43
91.25,171.25
92.07,172.07
92.87,172.87
196.32,173.68
94.5,174.5
94.63,174.63
94.75999999999999,174.76
94.87,174.87
95.0,175.0
95.13,175.13
95.24000000000001,175.24
95.37,175.37
95.5,175.5
94.81,174.81
94.13,174.13
93.44,173.44
92.75,172.75
92.06,172.06
91.37,171.37
90.69,170.69
90.0,170.0
89.5,169.5
89.0,169.0
88.5,168.5
88.0,168.0
87.5,167.5
87.0,167.0
86.5,166.5
86.0,166.0
86.19,166.19
86.38,166.38
86.56,166.56
86.75,166.75
86.94,166.94
87.12,167.12
87.31,167.31
87.5,167.5
88.25999999999999,168.26
89.0,169.0
20.25999999999999,169.74
19.5,170.5
18.74000000000001,171.26
18.0,172.0
17.25999999999999,172.74
166.5,173.5
6.1299999999999955,173.87
5.759999999999991,174.24
15.370000000000005,174.63
5.0,175.0
4.6299999999999955,175.37
45.75999999999999,175.76
13.870000000000005,176.13
3.5,176.5
3.6200000000000045,176.38
3.740000000000009,176.26
3.8799999999999955,176.12
4.0,176.0
14.120000000000005,175.88
14.259999999999991,175.74
45.620000000000005,175.62
4.5,175.5
94.81,174.81
5.8700000000000045,174.13
93.44,173.44
92.75,172.75
92.06,172.06
188.63,171.37
189.31,170.69
90.0,170.0
88.87,168.87
182.26,167.74
86.63,166.63
85.5,165.5
84.37,164.37
83.25999999999999,163.26
82.13,162.13
81.0,161.0
80.06,160.06
79.13,159.13
78.19,158.19
77.25,157.25
220.69,156.31
194.63,155.37
175.56,154.44
73.5,153.5
72.56,152.56
71.63,151.63
70.69,150.69
69.75,149.75
68.81,148.81
67.87,147.87
66.94,146.94
66.0,146.0
65.88,145.88
